AK  44.75 55.25
AL  36.00 64.00
AR  36.50 63.50
AZ  48.50 51.50
CA  58.63 41.37
CO  54.63 45.37
CT  57.89 42.11
DC  93.00 7.00
DE  55.50 44.50
FL  51.13 48.87
GA  45.00 55.00
HI  66.00 34.00
IA  48.25 51.75
ID  34.00 66.00
IL  58.50 41.50
IN  40.50 59.50
KS  39.50 60.50
KY  35.00 65.00
LA  40.00 60.00
MA  65.33 34.67
MD  63.00 37.00
ME  56.38 43.62
ME1 59.50 40.50
ME2 49.87 50.13
MI  52.25 47.75
MN  55.34 44.66
MO  44.66 55.34
MS  41.00 59.00
MT  46.16 53.84
NC  49.75 50.25
ND  41.25 58.75
NE  37.50 62.50
NE1 39.50 60.50
NE2 49.00 51.00
NE3 25.00 75.00
NH  51.63 48.37
NJ  57.00 43.00
NM  55.50 44.50
NV  51.88 48.12
NY  61.00 39.00
OH  49.75 50.25
OK  32.00 68.00
OR  55.50 44.50
PA  46.50 53.50
RI  58.00 42.00
SC  42.66 57.34
SD  35.00 65.00
TN  37.00 63.00
TX  47.25 52.75
UT  47.75 52.25
VA  49.00 51.00
VT  63.00 37.00
WA  58.00 42.00
WI  50.00 50.00
WV  32.00 68.00
WY  27.00 73.00
